	kor	eng
2132	오늘 비가 올까요?	Is it still going to rain today?
2133	메리는 아이를 가질 수 없다.	Mary cannot have children.
2134	그는 돈에 쪼들리고 있었다.	He was hard up.
2135	조금 도와주실 수 있습니까?	Can you help me a little?
2136	몇 명의 아이들이 방에 있었다.	There were a few children in the room.
2137	어떤 나라든 역사가 있다.	Every country has its own history.
2138	나도 행복하고 싶다.	I also want to be happy.
2139	그는 우울하다.	He is depressed.
2140	그녀는 우울하다.	She's depressed.
2141	주운 사람이 임자!	Finders keepers!
2142	흡연은 자살을 의미한다.	Smoking means suicide.
2143	그는 자살했다.	He committed suicide.
2144	그녀는 자살을 시도했다.	She attempted suicide.
2145	자살입니다.	It's suicide.
2146	그것은 자살입니다.	That's suicide.
2147	이것은 자살입니다.	This is suicide!
2148	그는 자살을 시도했다.	He attempted suicide.
2149	톰은 자살했다.	Tom committed suicide.
2150	자살은 위험하다.	Suicide is dangerous.
2151	흡연은 자살이다.	Smoking is suicide.
2152	톰은 자살을 시도했다.	Tom attempted suicide.
2153	라일라는 자살했다.	Layla committed suicide.
2154	히메쿠사 유리코는 자살했다.	Yuriko Himekusa committed suicide.
2155	어제 그녀는 자살했다.	She committed suicide yesterday.
2156	나는 자살하고 싶지 않다.	I'm not suicidal.
2157	죽여!	Kill!
2158	흡연은 사람을 죽인다.	Smoking kills.
2159	날 죽여.	Kill me.
2160	그를 죽여라.	Kill him.
2161	그녀를 죽여라.	Kill her.
2162	그들을 죽여라.	Kill them.
2163	베티는 그녀를 죽였다.	Betty killed her.
2164	누가 그들을 죽였나?	Who killed them?
2165	누가 그를 죽였나?	Who killed him?
2166	무엇이 그들을 죽였나?	What killed them?
2167	무엇이 그녀를 죽였나?	What killed her?
2168	너의 적들을 죽여라.	Kill your enemies.
2169	베티는 어머니를 살해했다.	Betty killed her mother.
2170	나는 그를 죽일 것이다.	I'll kill him.
2171	헌혈하세요.	Donate blood.
2172	피가 말해 줄 것이다.	Blood will tell.
2173	톰은 피를 토했다.	Tom vomited blood.
2174	피 냄새가 납니다.	I smell blood.
2175	피가 여기저기 있었다.	Blood was everywhere.
2176	피가 있었다.	There was blood.
2177	그거 피야?	Is that blood?
2178	피는 붉다.	Blood is red.
2179	내 피가 끓었다.	My blood boiled.
2180	그거 진짜 피야?	Is that real blood?
2181	너의 피는 붉다.	Your blood is red.
2182	내 피가 끓고 있었다.	My blood was boiling.
2183	네 혈액형은 뭐야?	What's your blood group?
2184	그의 상처에서 피가 흘러 나왔다.	Blood ran from his wound.
2185	헌혈해 본 적이 있니?	Have you ever donated blood?
2186	톰은 저혈압이다.	Tom has low blood pressure.
2187	톰은 고혈압이다.	Tom has high blood pressure.
2188	톰은 조금의 피를 토해냈다.	Tom coughed up some blood.
2189	뱀들은 냉혈동물이다.	Snakes are cold-blooded creatures.
2190	존을 사랑해라.	Love John.
2191	사랑받아라.	Be loved.
2192	어찌나 사랑스러운지!	How lovely!
2193	사랑은 아프다.	Love hurts.
2194	날 사랑해 줘!	Love me!
2195	사랑받아라!	Be loved!
2196	저는 라자냐를 좋아해요.	I love lasagna.
2197	모두 그녀를 사랑한다.	Everybody loves her.
2198	그는 열차를 좋아한다.	He loves trains.
2199	그녀는 노래하기를 좋아한다.	She loves singing.
2200	그는 노래하기를 좋아한다.	He loves singing.
2201	모두가 그를 사랑한다.	Everybody loves him.
2202	난 사랑을 믿는다.	I believe in love.
2203	모두가 공짜를 좋아한다.	Everyone loves a freebie.
2204	평화.	Peace.
2205	어찌나 평화로운지!	How peaceful!
2206	사랑과 평화.	Love and Peace.
2207	자비를 베푸소서!	Grant us peace!
2208	우리는 평화를 원합니다.	We want peace.
2209	그들은 평화를 원한다.	They want peace.
2210	모두가 영원한 평화를 원한다.	Everybody wants permanent peace.
2211	그의 혼에 평화를!	Peace to his ashes!
2212	그는 평화 속에 살고 있다.	He lives in peace.
2213	저를 내버려 두세요!	Leave me in peace!
2214	평화가 깃들기를!	Peace be with you!
2215	언어를 좋아합니다.	I like languages.
2216	언어가 좋습니다.	I like languages.
2217	입을 조심해라.	Watch your language.
2218	입조심해라.	Watch your language.
2219	문화가 언어를 망친다.	Culture destroys language.
2220	어학원은 엉망이다.	Language schools suck.
2221	언어는 세계를 연다.	Language opens worlds.
2222	말조심해라.	Mind your language.
2223	입조심해라.	Mind your language.
2224	언어는 의식을 만든다.	Language creates conscience.
2225	언어를 공부하는 게 좋아요.	I like studying languages.
2226	그녀는 일곱 개의 언어를 말한다.	She speaks seven languages.
2227	영어는 언어다.	English is a language.
2228	언어를 배우는 것은 재미있다.	Learning languages is interesting.
2229	그건 무슨 언어였지?	What language was that?
2230	저는 다섯 개의 언어를 합니다.	I speak five languages.
2231	이 문장은 완벽해요.	This sentence is perfect.
2232	톰은 정말 좋은 남자처럼 보인다.	Tom seems like a really nice guy.
2233	북한은 기괴하다.	North Korea is weird.
2234	나는 한국에 들르고 싶다.	I want to visit Korea.
2235	내 할아버지는 한국에서 돌아가셨다.	My grandfather died in Korea.
2236	저는 북한에서 왔습니다.	I am from North Korea.
2237	한국은 떠오르고 있다.	Korea is now up and coming.
2238	일본과 남한은 이웃 국가다.	Japan and South Korea are neighbors.
2239	돈이 필요해요.	I need money.
2240	톰은 십오분 안에 여기에 있어야 해.	Tom should be here within fifteen minutes.
2241	그건 민감한 점이다.	That's a delicate point.
2242	우리는 비행기로 한국에 갔다.	We went to Korea by plane.
2243	이 티비는 한국에서 만들어졌습니다.	This TV is made in Korea.
2244	한국에서는 무슨 언어로 말합니까?	What languages do they speak in Korea?
2245	"1950년에	 북한은 남한을 침공했다."	"In 1950	 North Korea invaded South Korea."
2246	저는 한국을 방문하고 싶어요.	I would like to visit South Korea.
2247	"북한은 한국어로 ""조선""이라고 불린다."	"North Korea is called ""Chosŏn"" in Korean."
2248	"남한은 한국어로 ""한국""이라고 불린다."	"South Korea is called ""Hanguk"" in Korean."
2249	서울은 남한의 도시다.	Seoul is the capital of South Korea.
2250	평양은 북한의 도시다.	Pyongyang is the capital of North Korea.
2251	나는 북한에 가고 싶다.	I want to go to North Korea.
2252	북한과 남한은 이웃이다.	North Korea and South Korea are neighbors.
2253	나의 아버지는 다음 주에 한국으로 가기로 되어 있다.	My father is to visit Korea next week.
2254	톰은 선교사로서 한국에 갔다.	Tom went to Korea as a Christian missionary.
2255	한국은 절대 지루하지 않는다. 항상 신난다.	"Korea is never boring	 it's always exciting."
2256	너의 반에 한국에서 온 학생이 있니?	Are there any students from Korea in your class?
2257	돌아오지 않는 다리는 두 한국을 가른다.	The Bridge of No Return separates the two Koreas.
2258	남한은 북한보다 훨씬 더 아름답다.	South Korea is much more beautiful than North Korea.
2259	톰은 한국에서 만들어진 기타를 가지고 있다.	Tom has a guitar that was made in Korea.
2260	그만큼 북한이 (중국도) 교활한 것이다.	That's just how cunning North Korea (and China) is.
2261	아파.	It hurts.
2262	너는 왜 사니?	Why do you live?
2263	아프지 않아.	It doesn't hurt.
2264	제발 날 죽여 줘.	Please kill me.
2265	그 소년들은 북쪽으로 갔다.	The boys have gone north.
2266	글쓴이들은 저 집에 있다.	The writers are in that house.
2267	"만약 물이 없었다면	 인간은 살아남지 못했다."	"If it were not for water	 humans could not survive."
2268	톰은 마리가 그것을 해야만 한다고 생각하지 않는다고 말했다.	Tom says he doesn't think Mary ought to do that.
2269	죽고 싶어.	I want to die.
2270	죽고 싶어요.	I want to die.
2271	죽는 일보다 고통 받는 일이 더 많은 용기를 필요로 한다.	It requires more courage to suffer than to die.
2272	슬퍼.	I'm sad.
2273	우울해.	I'm depressed.
2274	나는 내 자신이 싫어.	I hate myself.
2275	난 가끔 내 자신이 싫어.	I hate myself sometimes.
2276	가끔 내 자신이 싫어.	Sometimes I hate myself.
2277	나도 내 자신을 싫어해.	I hate myself as well.
2278	내 실수 때문에 내 자신이 싫어.	I hate myself for my mistakes.
2279	바로 지금 난 내 자신이 싫어.	I really hate myself right now.
2280	톰이 싫어서 내 자신이 싫어.	I hate myself for hating Tom.
2281	그걸 해서 내 자신이 싫었어.	I hated myself for doing that.
2282	톰이랑 나는 집을 구하고 있어.	Tom and I are house hunting.
2283	남자애도 운다.	Boys do cry.
2284	"만약 신이 존재하지 않았다면	 만들어 낼 필요가 있겠지."	"If God did not exist	 it would be necessary to invent him."
2285	갖고 다니지 않으면 잃을 것도 없다.	He who carries nothing loses nothing.
2286	그 누구도 완벽하지 않는다.	Nobody is perfect.
2287	그 아빠에 그 아들.	"Like father	 like son."
2288	"할 가치가 있는 일이면	 제대로 하십시오."	"If it is worth doing at all	 it is worth doing well."
2289	"모두 천국에 가고 싶어 하나	 누구도 죽고 싶어 하지 않는다."	"Everyone wants to go to heaven	 but nobody wants to die."
2290	지혜로운 리더는 언제 들어야 할지를 안다.	A wise leader knows when to listen.
2291	신참이 가장 포부가 크다.	Newcomers are the most ambitious.
2292	창문을 닫지 마.	Don't close the window.
2293	장례식이 싫어.	I hate funerals.
2294	그건 네 책임이야.	That's your funeral.
2295	장례식은 어제였다.	The funeral was yesterday.
2296	나는 장례식에 참석했다.	I attended his funeral.
2297	우리는 같은 배를 탔다.	We're in the same boat.
2298	나도 같은 처지다.	I'm in the same boat.
2299	톰은 같은 처지다.	Tom is in the same boat.
2300	우리는 모두 같은 배를 탔다.	We're all in the same boat.
2301	나도 너랑 같은 처지야.	I'm in the same boat as you.
2302	우리는 다 같은 처지에 있지 않는다.	We're not all in the same boat.
2303	우리 모두가 같은 한 배를 탔다는 걸 기억해라.	Remember that we are all in the same boat.
2304	톰과 마리는 같은 배를 탔다.	Tom and Mary are in the same boat.
2305	단 하나의 진실은 현실이다.	The only truth is reality.
2306	꺼져!	Fuck off!
2307	"꺼져	 멍청한 저능아야!"	"Fuck off	 you stupid idiot!"
2308	"그 망할 손 치워	 후레자식아!"	"Take your fucking hands off me	 you bastard!"
2309	"난 집에 이런 쓰레기 들여놓지 않는다	 대놓고 말하마. 꺼져!"	"I do not take shit home	 I tell straight away. Fuck off!"
2310	네가 꺼져 버려도 난 신경 안 쓴다!	You can fuck off for all I care!
2311	씨발!	Fuck!
2312	씨발.	Fuck.
2313	씨발놈아!	Fuck you!
2314	엿 먹어!	Fuck you!
2315	씨발년아.	Fucking whore.
2316	망할 창년아.	Fucking whore.
2317	망할 걸레야.	Fucking whore.
2318	망해라!	Fuck that!
2319	망해라!	Get fucked!
2320	다 망해라.	Fuck everything.
2321	씨발놈아.	Fuck you.
2322	네 애미랑 씹해라.	Fuck your mom.
2323	뭐래?	What the fuck?
2324	썩 꺼져버려!	Go fuck yourself!
2325	내 인생 조졌다.	Fuck my life.
2326	내 인생 망했다.	Fuck my life.
2327	내 인생 개 같다.	Fuck my life!
2328	"엿 먹어	 씨발놈아."	"Fuck you	 asshole."
2329	존나 더워.	It's fucking hot.
2330	"네 애미랑 씹해라	 개새끼야."	"Fuck your mom	 bitch."
2331	그 망할 문 닫아라!	Close the fucking door!
2332	여기서 썩 꺼져!	Get the fuck out!
2333	너 존나 멍청하냐?	Are you fucking stupid?
2334	오늘은 존나 춥다.	Today is fucking cold.
2335	씨발 누가 상관해?	Who the fuck cares?
2336	이건 존나 대단하다.	This is fucking awesome.
2337	저건 존나 멋지다.	That's fucking cool.
2338	우리가 단번에 성공하지 못해도 내가 임신할 때까지 계속 섹스할 수 있어.	Even if we don't get lucky on the first try we can just keep fucking till I get pregnant.
2339	망할 놈아!	Fuckin' asshole!
2340	"안녕	 세계야!"	"Hello	 world!"
2341	이게 대체 뭐야?	What in the world is this?
2342	이게 대체 뭐예요?	What in the world is this?
2343	세계는 문제투성이다.	The world is full of problems.
2344	세상에 여기서 무슨 일이 일어난 거지?	What in the world happened here?
2345	세계는 너를 중심으로 돌아가지 않는다.	The world doesn't revolve around you.
2346	세상에 너 어디에 있었니?	Where in the world have you been?
2347	세상에 네가 뭘 하고 있다고 생각하는 거니?	What in the world do you think you're doing?
2348	"물 좀 주세요	 제발."	"Some water	 please."
2349	물은 빛을 반사한다.	Water reflects light.
2350	식물에 물을 주세요.	Water the plants.
2351	물 좀 끓여.	Boil some water.
2352	물 좀 마셔.	Drink some water.
2353	난 거짓말쟁이가 싫어.	I hate liars.
2354	변호사들은 모두 거짓말쟁이다.	Lawyers are all liars.
2355	너희 둘 다 거짓말쟁이다.	You're both liars.
2356	너희 모두 거짓말쟁이다.	They're all liars.
2357	어떻게 누군가가 톰이 말하는 것을 믿을 수 있지? 그는 병적인 거짓말쟁이야.	How can anyone trust anything Tom says? He's a pathological liar.
2358	그렇게 빨리 갈 필요는 없었잖아.	You didn't have to cum so early.
2359	가끔 나는 언제 세계 제 일회 사이버 폭력 챔피언 대회가 열릴지 궁금해한다.	Sometimes I wonder when the first world championship in cyberbullying will take place.
2360	"너의 얇고	 곱슬곱슬한 머리카락은 당면만큼 식욕을 돋우어."	"Your fine	 curly hair looks as appetizing as glass noodles."
2361	"빌	날따라오면	형도떠다닐거야."	"Bill	 if you'll come with me	 you'll float	 too."
2362	니가 만약에 아직도 살아있는거라면 나한테 알려줘	Please let me know if you are still alive.
2363	너 새차 색깔이 뭐야?	What color is your new car?
2364	금이 은보다 더욱 가치가 있다.	Gold is more valuable than silver.
2365	그 책은 세일 중이 아니야	That book is not available for purchase.
2366	새미의 삶은 하룻밤 사이에 바뀌었다.	Sami's life changed overnight.
2367	신은 죽었다. 우리가 그를 죽였다.	God is dead. We killed him.
2368	이건 내 경험으로 안다.	This I know from my own experience.
2369	다리 하나만으로는 뛰기 어렵다.	One leg is not enough for running.
2370	새미는 자신을 보호하려고 했다.	Sami tried to protect himself.
2371	새미는 그의 아름다운 아내와 지금도 같이 살고 있다.	Sami is still living with his beautiful wife.
2372	새미는 치명적인 실수를 저질렀다.	Sami made a fatal mistake.
2373	새미는 그의 아파트에서 잔인하게 살해당했다.	Sami has been brutally murdered in his apartment.
2374	새미는 두 어린 아이의 아버지이다.	Sami is the father of two young children.
2375	이 바이크는 별로 안전하지 않아. 바퀴가 너무 흔들려.	This bike isn't safe to ride; the wheel wobbles too much.
2376	톰은 때때로 같이 운동하자고 졸라댔지만 나는 정말 운동에 관심이 없다.	"Tom occasionally prods me to work out with him	 but I'm really not interested."
2377	톰은 연구 개발을 하고 있어요.	Tom works in research and development.
2378	메리는 응급 의료사가 되기 위한 훈련을 다 받았다.	Mary completed the training to become an emergency medical technician.
2379	"불행하게도	 우리는 귀하의 참여를 기록 할 수 없습니다. 이것은 아마도 귀하께서 이미 이 기회에 참여하셨거나	 또는 이용약관의 위반으로 의심되는 사실이 있기 때문일 것 입니다. 귀하께서는 해당 사이트의 플랫폼으로 이동 될 것입니다."	Unfortunately we were unable to record your participation. This may be due to the fact that you already participated in this opportunity or there was a suspected violation of our terms and conditions. You will be redirected to your panel platform.
2380	고양이는 빵을 먹는다.	The cat eats bread.
2381	또 너에게 번호를 물어보지 못했어.	I wasn't able to ask for your phone number again.
2382	"결국에 우리의 기억에 남는 것은	 적들의 말이 아닌 친구의 침묵이 될것이다."	"In the end	 we will remember not the words of our enemies	 but the silence of our friends."
2383	어둠으로 어둠을 몰아낼 수는 없다. 오직 빛으로만 할수 있다. 증오로 증오를 몰아낼수는 없다. 오직 사랑만이 그것을 할 수 있다.	Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.
2384	나는 사랑을 고수하기로 했다. 증오는 짊어지기에 너무 큰 짐이다.	I have decided to stick with love. Hate is too great a burden to bear.
2385	나에게는 나의 4자녀가 언젠가는 그들의 피부색이 아닌 그들의 인격으로 평가받는 나라에서 살게 될 것이라는 꿈이 있다.	"I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin	 but by the content of their character."
2386	"우린 용서하는 능력을 키우고 지속해야 한다. 용서를 하는 능력이 없는 자는 사랑을 할 능력이 없다. 우리안에는 최악 일때도 선함이 있고	 최고일때도 악함이 우리 안에 있다. 우리가 이것을 발견할때	 우리는 상대방을 증오하는 경향이 낮아진다."	"We must develop and maintain the capacity to forgive. He who is devoid of the power to forgive is devoid of the power to love. There is some good in the worst of us and some evil in the best of us. When we discover this	 we are less prone to hate our enemies."
2387	그렇다면 돌아가야지.	Then we should go back.
2388	"악한 것은 보지도 말고	 듣지도 말고	 말하지도 말라."	"See no evil	 Hear no evil	 Speak no evil."
2389	겨울 방학은 언제 시작하나요?	When does your winter vacation begin?
2390	겨울방학 어떻게 보냈어?	How did you spend your winter vacation?
2391	겨울 방학은 어떻게 지냈나요?	How did you spend your winter vacation?
2392	경찰서는 어디있어요?	Where is the police station?
2393	일기예보는 거의 맞지 않는다.	Weather forecasts are rarely accurate.
2394	그는 그의 성공을 그가 열심히 일한것에 대해 공을 돌렸다	He attributes his success to hard work.
2395	그는 종종 그의 성공을 그의 아내의 공으로 돌리곤 한다	He often attributes his success to his wife.
2396	당신의 실패를 당신의 부모님 탓으로 돌리는것은 옳지 않습니다	It's not fair to attribute your failure to your parents.
2397	모든 메달은 양면이 있다.	All medals have two faces.
2398	우리 모두가 같은 한 배를 탔다는 걸 기억해라.	Remember that we're all in the same boat.
2399	나는 당신의 질문에 답할 수 없어요.	I can not answer your question.
2400	나는 네 질문에 답할 수 없어.	I can not answer your question.
2401	네가 저리 갔으면 좋겠어.	I'd like you to go away.
2402	닥쳐.	Shut up.
2403	꺼져.	Get lost.
2404	시끄러워!	Shut up!
2405	잠이 와.	I can't sleep.
2406	자살은 고통스럽지 않아.	Suicide isn't painful.
2407	갑자기 머리가 아프다.	I've got a headache all of the sudden.
2408	제 마음이 아파요.	I'm heartbroken.
2409	이 화장실의 변기는 막혔어요.	This restroom's toilet is clogged.
2410	영어는 어렵지 않아요.	English isn't difficult.
2411	어제 내 컴퓨터는 고장났어요.	My computer broke yesterday.
2412	이 사이트는 유용합니다.	This site is useful.
2413	제 사과를 받아 주세요.	Please accept my apology.
2414	반품을 하는 데 2시간이나 걸려서 다른 가정 용품을 사봤어.	It takes 2 hours or so to go make a return so I bought some different housewares.
2415	왜냐하면 사장님이 절대로 고객님에게 반대하지 말라고 했기 때문이다.	Because the boss said to never go against the customer.
2416	그 문장은 틀렸습니다.	That sentence was wrong.
2417	가방이 꽉 찼습니다.	The bag is full.
2418	우리는 후퇴하고 있었다.	We were retreating.
2419	더 빨리할수록 좋다.	"The sooner you do it	 the better it is."
2420	비가 올 것 같네요.	It looks like it's going to rain.
2421	톰에게 더는 하지 말라고 부탁했다.	I asked Tom not to do that anymore.
2422	메리는 그녀의 긴 드레스를 걷어잡았다.	Mary gathered up her long dress.
2423	톰은 메리가 과다체중이라고 했다.	Tom said Mary was overweight.
2424	갈색 드레스와 어울리는 모자를 찾고 있어요.	I'm looking for a hat to match a brown dress.
2425	톰은 이제는 게으른 소년이 아니다.	Tom is not an idle boy any longer.
2426	톰은 요즘 들어 꽤 바빴다.	Tom has been rather busy these days.
2427	톰은 획기적이지는 않지만 좋은 영화는 잘 만든다.	"Tom doesn't innovate	 but he does make good movies."
2428	이 농담은 이미 들어봤어.	I've heard this joke already.
2429	술 취했었다.	I was intoxicated.
2430	누구?	Who?
2431	너 없인 못 살아.	I can't live without you.
2432	완벽해!	Perfect!
2433	나도.	"Me	 too."
2434	나한테 개수작 부리지 마	Don't fuck with me!
2435	"나한테서 손 떼	 이 새끼야."	"Take your fucking hands off me	 you bastard!"
2436	썅 어떤 병신이 한밤중에 감히 전화를 해?	"Fucking hell	 what idiot dare phone me in the middle of the night?"
2437	남자들은 남성적으로 보이고 싶어한다.	Men like to look masculine.
2438	그는 두 시간 동안 더 걸었다.	He went on walking for two hours.
2439	나 내년에 입학시험을 봐야 돼.	I have to take the entrance exams next year.
2440	그는 새벽에 왔다.	He came at dawn.
2441	믿음과 신뢰의 차이점은 무엇입니까?	What's the difference between faith and trust?
2442	피곤해 보이니까 일찍 자는 것이 좋겠다.	"You look tired	 so you should go to bed early."
2443	내 친구들은 멍청하다.	My friends are stupid.
2444	좋은 선물이 되겠다.	That would make a great gift.
2445	진정해!	Chill out!
2446	오늘 오후 두시에서 세시 사이에 여기로 와 주세요.	Please come here between two and three this afternoon.
2447	크로아티아는 크로아티아어로 '흐르바트스카'다.	"Croatia is called ""Hrvatska"" in Croatian."
2448	상관없는 거 알잖아.	You know it doesn't matter.
2449	그냥 조금 졸린 것 같아.	I guess I'm just a little sleepy.
2450	아이들은 조용히 앉아 있었다.	The children sat quietly.
2451	톰은 여기에 두세요.	Keep Tom there.
2452	티비에서 봤어요.	I've seen you on TV.
2453	에스페란토는 실제로 어렵지 않다.	Esperanto indeed is not difficult.
2454	나는 말다툼하는 것을 싫어한다.	I hate to get into arguments.
2455	더 크게.	Louder.
2456	에취!	Achoo!
2457	"소는 ""음메""	 닭은 ""꼬꼬댁 꼬꼬""	 돼지는 ""꿀꿀""	 오리는 ""꽥꽥""	 고양이는 ""야옹""."	"The cow goes ""moo	"" the rooster goes ""cock-a-doodle-doo	"" the pig goes ""oink	 oink	"" the duck goes ""quack	 quack"" and the cat goes ""meow."""
2458	여자가 침실에서 잠을 잔다.	The woman sleeps in the bedroom.
2459	톰은 아직 숙제를 안 했다.	Tom hasn't finished his homework yet.
2460	우리는 다 톰이 탈출한 줄 알았다.	We all thought that Tom had escaped.
2461	생판 모르는 사람과 저녁을 먹었다.	I had dinner with a total stranger.
2462	우리는 이달 말에 보스턴으로 이사를 합니다.	We're moving to Boston at the end of this month.
2463	가만히 있으세요.	Hold still.
2464	가만히 있어.	Hold still.
2465	이 시계는 정확하다.	This clock is accurate.
2466	좀 놀랐어요.	I'm kind of surprised.
2467	나는 열쇠를 찾기 위해 현관 매트 아래와 근처 화분 안을 뒤졌다.	I looked for the key under the welcome mat and in the nearby flower pot.
2468	나는 열쇠를 찾기 위해 현관 매트 아래와 근처 화분 안을 뒤졌다.	I searched under the mat and in the nearby flower pot to find the key.
2469	고양이가 발톱을 감춘다.	The cat hides its claws.
2470	저기 봐.	Look at that.
2471	저기 봐.	Look over there.
2472	살고 싶지 않아.	I don't want to live.
2473	세상이 싫어요.	I hate this world.
2474	문장에 틀렸거나 어색하다면 꼭 고쳐주시기 바랍니다!	Please edit the sentence if it is wrong or awkward.
2475	우리는 음식에 관해서는 매우 보수적이다.	We are quite conservative when it comes to food.
2476	"곧 사촌의 결혼식이 있어서	 내일 아침에 난 엄마랑 누나랑 같이 웨딩드레스를 사러 가야 돼."	I have to go shop for a wedding dress with my mom and my sister tomorrow morning because it's my cousin's wedding soon.
2477	먹지 마.	Don't eat it.
2478	"어머	 부끄러워."	"My goodness	 how embarrassing."
2479	그건 억울합니다.	That is unfair.
2480	공부할 방이 없다.	I have no room to study in.
2481	그건 억울합니다.	That's unfair.
2482	미남이시라구요	I said you are handsome.
2483	그는 상금을 은행에 입급했다.	He deposited the prize money in the bank.
2484	학교에 지각했다.	I was late to school.
2485	내가 메리를 싫어하는 만큼 그녀도 나를 싫어한다.	Mary hates me as much as I hate her.
2486	메리는 보스턴으로 이사가면 더 행복할 것이라고 확신했다.	Mary was convinced that she'd be happier if she moved to Boston.
2487	새로운 계획에 반대하는 사람있습니까?	Does anyone oppose the new plan?
2488	그는 내일 오후에 떠날 예정이다.	He is going to leave tomorrow afternoon.
2489	너 후회할거야.	You'll regret it.
2490	종교와 철학의 차이점은 무엇입니까?	What's the difference between religion and philosophy?
2491	그는 상사의 사무실로 들어가기 전에 심호흡을 했다.	He breathed deeply before entering his boss's office.
2492	벌써 아홉시다.	It is already nine o'clock.
2493	시계를 보세요.	Look at the clock.
2494	그 사람은 이상하다고 생각합니다.	I think he is strange.
2495	재판부가 보충적으로 피고인에게 몇 가지를 물어보겠습니다.	The bench will ask the defendant some additional questions.
2496	"그녀가 미소지을 땐	 녹아내릴 것만 같아."	"When she smiles	 I feel like melting."
2497	엄마 내 말 경청 좀 해주세요.	"Mom	 please listen to me."
2498	좋은데에 데려가줄게.	I'm taking you somewhere nice.
2499	그들의 설명은 모호했다.	Their explanation was confusing.
2500	내가 그 사람한테 사진 좀 찍어 달라고 했어요.	I asked him to take some pictures.
2501	목격자가 한 명 있었다.	There was one witness.
2502	톰은 친구들에게 고기를 먹은 적이 한 번도 없다고 했다.	Tom told his friends that he never ate meat.
2503	나는 어제 단지 출근할 수 없었어.	"Yesterday	 I simply couldn't go to work."
2504	그는 영어를 모국어로 사용한다.	He is a native English speaker.
2505	나는 (언어?)모국어 사용자가 아닙니다.	I am not a native speaker.
2506	지난 3년동안 톰을 보지 못했었어요.	I hadn't seen Tom in three years.
2507	사람들이 생각하는 것 만큼 쉽지는 않아요.	It's not as easy to do that as people think.
2508	우리는 톰이 올수 있을지 없을지 모릅니다.	We don't know whether Tom can come or not.
2509	나는 아침으로 과일을 먹는 것을 좋아합니다.	I like eating fruit for breakfast.
2510	저에게는 프랑스어를 말하는 많은 친구들이 있습니다.	I have many French-speaking friends.
2511	잔디를 밟지 마세요.	Please don't walk on the grass.
2512	나는 아직 메리를 사랑해.	I'm still in love with Mary.
2513	아직 메리랑 키스 못 해봤어.	I haven't kissed Mary yet.
2514	잔돈을 잊어버리셨네요.	You've forgotten your change.
2515	그것은 보스턴에서 일어났습니다.	It happened in Boston.
2516	호주에서는 인기가 있어요.	It's popular in Australia.
2517	나는 톰에게 경고해야 해.	I need to warn Tom.
2518	나는 도서관에서 종종 책을 빌린다.	I often borrow books from the library.
2519	우리는 톰과 즐거운 시간을 가졌다.	We had fun with Tom.
2520	책을 제자리에 놔 두세요.	Leave the book where it is.
2521	그걸 하려고 몇 시간이 걸렸어요.	It took me several hours to do that.
2522	나는 그것을 거의 매일 한다.	I do that almost every day.
2523	집을 청소하는데 3시간이 걸렸습니다.	It took me three hours to clean my house.
2524	나는 톰에게 이 책을 줘야 합니다.	I have to give Tom this book.
2525	톰에게 물어볼 것이 있습니다.	I have to ask Tom a question.
2526	톰에게 이 책을 줘야 합니다.	I have to give this book to Tom.
2527	당신 책을 읽어봤었어요. 꽤 흥미롭더라구요.	I've read your book. It was very interesting.
2528	나는 톰을 매니저에게 소개시켜줘야 합니다.	I have to introduce Tom to the manager.
2529	너 어딘가 세뇌당한 것 같아.	I think that you have been brainwashed.
2530	여기 보스턴에서 캐나다 사람을 만난 적이 있나요?	Have you met any Canadians here in Boston?
2531	저는 그리스 사람입니다.	I'm from Greece.
2532	별로 어려워 보이지 않는 일입니다.	Doing that doesn't look too hard.
2533	그게 우리가 할 수 있는 유일한 방법이었습니다.	That was the only way we could do that.
2534	"당신이 세계를 여행하는 동안	 항상 잘먹는 것이 가능하지는 않습니다."	It's not always possible to eat well when you're traveling in this part of the world.
2535	3시간 안에 거기에 도착할 겁니다.	We'll get there in three hours.
2536	제가 그러다가 다쳤었어요.	I got injured doing that.
2537	톰은 제가 왜 여기 있는지 아직 모릅니다.	Tom doesn't know why I'm here yet.
2538	밤새 비가 내렸다.	It rained throughout the night.
2539	톰은 그의 차를 메리에게 팔았다.	Tom sold his car to Mary.
2540	나는 항상 아침 6시 30분에 일어난다.	I always get up at 6:30.
2541	그들이 메리를 즐겁게 했다.	They made fun of Mary.
2542	이제 충분히 했습니다.	Now I've had enough.
2543	톰은 그가 뭘 해야 할지 모른다.	Tom doesn't know what he'll do.
2544	그들이 톰을 다치게 하도록 놔두지 마.	Don't let them hurt Tom.
2545	톰은 경기에서 이겼다.	Tom won the match.
2546	너에게 줄 돈이 있다.	I have money for you.
2547	괜찮은 거예요?	Is that OK?
2548	괜찮은 거예요?	Is that okay?
2549	그건 몰랐어요.	I didn't know that.
2550	아직 저녁을 안 드셨나요?	Have you eaten dinner yet?
2551	그는 그의 서재에 있다.	He is in his library.
2552	그는 나를 저녁 식사에 초대했다.	He invited me to dinner.
2553	그는 나를 설득해 가도록 만들었다.	He argued me into going.
2554	그는 나를 기다리게 했다.	He kept me waiting.
